описывать	describe
узнавать (в лицо)	recognize
цвет кожи лица	a complexion
пол (муржской/женский)	sex (male/female)
стрижка	haircut
стричься 	get a haircut
стричь	do a haircut
прическа / укладка	hairstyle
когда тебе делают прическу	get a hairstyle
делать прическу кому то	do a haircut
возраст	age
Сколько лет твоей собаке?	What age is your dog?
волнистые	wavy
торчащие ежиком	spiky
прямые 	straight
кучерявые	curly
густые / пушистые	bushy
лысый	bald
обезбашенный	bold
седой	grey
посидеть	turn grey
светлый	fair
блондинка	blond
рыжий	ginger / red
темный	dark
брюнетка	brunette
волосок	a hair
послать воздушный поцелую	blow a kiss
надуть	blow / blew / blown
гладить	stroke
шипать	pinch (ed)
массажировать	massage
