дкржать крепко	hold tight
удар ногой	kick
хлопнуть	clap
щекотать	tickle
плавный плавно	smooth smoothly
резкий резко	sharp sharply
медленный медленно	slow slowly
тихий тихо	quiet quietly
внимательный внимательно	attentive attentively
прекрасный прекрасно	beautiful beautifully
идеальный идеально	perfect perfectly
быстрый быстро	quick quickly
злой злобно	angry angrily
отсторожный осторожно	careful carefully
нервный нервно	nervous nervously
громкий громко	loud loudly
терпеливый терпеливо	patient patiently
вежливый вежливо	polite politely
добрый по доброму	kind kindly
хороший хорошо	good well
плохо плохой	bad badly
быстрый быстро 	fast fast
трудный трудно	hard hard
дружелюбный дружелюбно	friendly in the friendly way
красивый красиво	lovely in a lovely way
спокойный спокойно	calm calmly
согражданнин	fellow citizen
свидетель чего то	witness to smt
раб чего то	slave of smt
наглый 	bossy
