пожать руку кому то	shake hands with sb
трясти	shake shook shaken
тереть ( не на терку )	rub (bed)
дать пять	give high five
 удар рукой 	punch (ed)
замереть	freeze (froze frozen)
вполне здоров	quite healthy
серьезно брлен	seriously ill
чувствовать себя больным	feel seak (for smt)
иметь проблемы с ( часть тела )	have trouble with
иметь экстенный случай	have an emergency
иметь боль в (нестерпимая боль)	have a pain in
страдать	suffer (ed)
простудиться	catch a cold
ловить	catch cought cought
иметь грип	have the flu
воспаленное горло	have a sore throat
иметь насморк	have a runny noze
кашлять	cough(ed)
чихать 	sneeze
поставить синяк 	give a bruise
синяк под глазом	black eye
круги под глазами	dark circles under eyes
пищевое отравление	food poisoning
первая помощь	first aid
надавати первую помощь	give a first aid
аптечка	first aid kit
головная, желудочная, спинная, ушная, зубная боль	head, stomach, back, ears, tooth - ache
