детский садик	kindergarten
начальное образование	primary education
среднее образование (5-9 класс)	secondary education
высшее образование	higher education
закончить школу	finish (ed) school
вструпить в университет	enter (ed) university
вступить в колледж	enter (ed) college
степень в економике	degree in economics
выпуститься из университета	graduate from university
бакалавр	"a bachelor's degree"
степень магистра	"a master's degree"
зубрить	cram (med)
списывать	cheat (ed)
запоминать	memorize(d)
диплом	diploma
холостяк	bachelor
начальное образование 2	elementary education
среднее образование (10-11 класс)	high education
