осознавать	realize (d)
полагать	believe (d)
выяснять	find out
узнать	learn
воображать	imagine
соглашаться	agree (d)
соглашаться на это	agree on it
ответить на	reply (ied) to message/email/letter
обьяснять что то кому то	explain (ed) smt to sb
иметь в виду	mean (t)
я не хотел что то сделать	"I didn't mean to V1"
сожалеть о чем то	regret (ted) that
сожалеть о прошлых поступках	regret (ted) Ving
жаль что то сообщить	regret to V1
сомневаться	doubt (ed)
сомневаться по поводу делания	doubt about Ving
настаивать на делании чего то	insist (ed) on Ving
настаивать что бы кто то что то сделал	insist (ed) that sb V1 (s)
отрицать 	deny (ied) that / Ving smth
понять	see
жаловать о	complain about
жаловаться что	complain that 
не соглашаться	disagree (d)
упоминать	mention (ed)
сообщить	inform (ed)
напомнить кому то что то сделать	remind sb to V1
напоминает кому то что то (усы напоминают отца)	remind sb of smt
ожидать (в плане наших ожиданий) кто то что то сделает	expect (ed) sb to V1
ожидать что то от кого то	expect (ed) smt from sb
