интересный	interesting
заинтересованый в	interested in
пострясающий	amazing
потрясенный кем то	amazed by
удивительный	surprising
удивленный кем то	surprised (at)
раздражающий	annoing
раздраженный с кем то	annoyed (with sb/by smt)
утомительный	tiring
уставший что то делать	tired of Ving
забавный	amusing
позабавленный кемто или чем то	amused ( by /at )
шокирующий	shoking
шокирован кем то или чем то	shoked (by /at)
розачаровующий	disappointing
розачарованный в чем то / в ком то	disappointed (at smt / in sb)
отвратительный	disgusting
испытывающий отвращение от чего то	disgusted (by)
истощающий	exhausting
истощенный чем то или кем то	exhausted (by / from)
скучный	boring
заскучавший с 	bored with
