сделать предложение кому то	propose to sb
помолвояное кольцо	engagement ring
свадебное кольцо	wedding ring
брак	marriage
семейное положение	marital status
вдовец / вдова	widowed
разведенный	divorced
жениться / выйти замуж за кого то	marry sb
жениться / выйти замуж  2	(get) merried to sb
невеста	bribe
жених	bribegroom
подружка невесты	bridesmaid
друг жениха	best man
молодожен	newlywed
только что поженившиеся	just married
букет	bouquet
свадебная фата	bribal veil
свадебная церемония	wedding ceremony
