на войне	at war
грожданская война	civil war
сражаться / драться	fight (fought, fought)
загрязнять	pollute (d)
загрязнение 	pollution
глобальное потепление	the global warming
выживать	survive (d) smt / in the forest
солда	soldier
гражданские лица	civilians
природные ресурсы	natural resources
защищать животных / растения	protect animals / plants
перерабатывать отходы	recycle (d) waste
разрушать	destroy (ed)
повреждать	damage (d)
тероризм	terrorism
установить бомбу	plant (ed) bombs
угонять самолеты	hijack (ed) planes
мирно	peacefully
принимать участие	participate / take part in
