приятный	pleasant
оптимистичный	optimistic
радостный	cheerful
разслабленный и легкий на поьем	relaxed and easy-going
чюствительный	sensitive
честный	honest
пунктуальный	punctual
уверенный в себе	(self)-confident
открытый и искренний	open and sincere
скромный	modest
хорошо воспитанный	well-bred
успешный/обеспеченный	well-off
ужасный	horrible
неприятный	unpleasant
писиммистичный	pessimistic
жалкий/несчастный	miserable
напряженный	tense
нервный	nervous
безчувственный	insensitive
нечестный	dishonest
вечно опаздывающий	always late
застенчивый 	shy
хитрый	sly
подлиза	cunning
хвастливый	boastful
плохо воспитанный / вспыльчивый	bad-tempered
ругаться матом	curse
