в новостях	on the news
ведущий шоу	host
ведущий новостей	 presenter
журналист	journalist
статья	article
вещание	broadcast
широко	broad
бросать (фигурально)	cast
обложка	cover
освещать новость	cover (ed)
в клнфликте с кем то	be in conflict with
в мире	in peace
обсуждать с переговорами	negotiate (d)
временное перемирье	ceasefire 
перерыв	cease
обьявить перемирье	call/declare a ceasefire
вводить воиска	draw troops
выводить воиска	withdraw troops
убийство / убивать	murder (ed)
посадить кого то в тюрьму	put sb in prison
виновный в 	 guilty of
невиновный	innocent of
похищать (человека)	kidnap
катастрофа 	disaster
битва	battle
выиграть последюю битву	 win last battle
последняя битва	the last battle
