кассир	teller
в моей банковой выписке	on my bank statement
выдавать официально кому то/ что то	issue sb/sth
дать в займы кому то	lend (lent, lent) sb 
взять в долг у кого то	borrow from sb
ложить деньги на / в 	put money on 
вложить (в бизнес / депозит)	pay (ed) into 
переводить деньги	transfer (ed)
взять в кредить	take out a loan
выплатить	pay off
окупиться	pay off
ипотека	mortgage
открыть банковский счет 	open a bank account
повышать / повышаться на _%	increase (d) by _ %
уменьшаться / падать	decrease (d)
процентная ставка 	interest
курс обмена валют	exchange rate
на моем балансе	in my balance
снимать деньги с банкомата	withdraw from an ATM
банкомат	ATM
платить налом	pay cash
платить картой 	pay by card
соответсвовать требованиям 	meet demands
пуленепробиваемый	bullet proof (glass)
быть должным	owe sb amth
