назначение на должность	appointment
временный	temporary
низко оплачиваемая	poorly paid
высокооплачиваемая	well paid
нанимать 	hire
увольнять 	fire
увольняться 	quit
быть повышенны	be promoted
быть пониженным	be demoted
 повышение	promotion
понижение (должности)	 demotion
почасовая оплата	hourly wages
посменная оплата	shiflty wages
понедельная зарплата	weekly wages
зарплата 	salary
искать работу	job hunt
повышение зарплаты	pay rise
получить повышение зарплаты	get a pay rise
быть ответственным на высокой должности	be in charge of Ving / _ department
достижения (в чем то)	accomplishment  in smt
отклонить запрос	turn down a request
принять запрос	accept a request
удовлетворять	satisfy
разделять на части	divide (d)  into _ parts/pieces/groups
умножать	multiply
