и что?	So what?
ты что?	You what?
для чего?	what for?
 в котором часу?	what time?
а что потом?	then what?
неважно	whatever
что это?	"what's that?"
что за хммм?	what a hmm?
Как насчет хмм?	what about V1ing?
какой смысл это делать?	"what's the point in V1ing?"
Что не так с хмм?	"What's wrong with smb/smth?"
Что происходит?	"What's going on?"
Что случилось?	"What's happened?"
В чем твоя проблема?	"What's your problem?"
вообще нет	whatsoever (in the end in sentence)
Ты знаешь что, предложение	You know what, sent
Я скажу тебе что ...?	"I'll tell you what, ..."
Как дела?	"What's up?"
какого черта?	What the fuck?
