рекламировать	to advertise smth
начинать бизнес	start/run a business
реклама 	asvertisment
работать на проекте	work on a project
источник дохода	a source of income
иметь доход	get/have income
возмещать расходы 	refind expenses
подписывать	sign
ставить подпись	leave/put signature
расписание	schedule
карьера	career
на торговай ярмарка	at the trade fair
попросить/сдедать/отправить счет фактуру	send/make/ask for invoice
выпустить прейскурант	issue price list
устанавливать цель	set a target
вести переговоры по контракту	negotiate a contract
добавлять	add
прибыль	profit
убытки 1000$	losess of 1000$
нести убытки	make losess
получать прибыль	make profit
