депресивный	depressing (smb/smth)
сбивающий с толку	confusing (smth)
интригующий	intriguing (smb/smth)
захватывающий	exiting (smth)
заманчивый	tempting smth
смущающий	embarrasing smth
скучный 	boring smth/smb
поразительный	astonishing
в дипресии / подавленный чем то	depressed about smth
сбитый с толку чем то	confused about smth
заинтригованый чем то	intrigued by/with
взволнованный чем то	exited about / by
чуствующий соблазн	tempted by smth / to V1
смущенный	embarrassed about/at
испытывать скуку от чего то / кого то	bored with smth /smb
пораженный	astonished at by
