подчиняться	Obey
Ходить на ципочках	Tiptoe
Погладить мвою голову	Pat your head
Согнуть свой бицепс	Flex your biceps
Равняться	Look up to
Остепениться	settle down
Появиться (когда этого не ожидают)	Turn up
Отменить / разорвать	Call off
Проведывать	Look in on sb
Отказывать	Turn down sb
Наткнуться	Come across sb/smth
Смотреть свысока	Look down on
Смириться	Put up with
перенимать управление	take over smth
уменьшие потребление чего то	cut down on
выяснить / понять	figure out smth
придумывать (идею, решение)	come up with
заканчиваться	run out of
оказаться (что то делающим/не планировал но сделал это)	end up ___ing
выходить сухим из воды	get away from
подводить	let (sb) down
