Пьянющий	Wasted
Под кайфом	Stoned
Быть накуреным / накуриваться	Be high / get high
Травка	Weed
Дерьмо / чепуха	Crap
Сплетни про	Gossip / rumor about
Хватать смелости	Have the guts
Чувак	Dude
Приятель / дружечек	Honey
Выводить кого то из себя / переживать / психовать	freak sb out
Напиться / бухло	Booze
В зааязке	Off the booze
В запое	On the booze
Блин / проклятье / черт побери	Dammit
Зануда / обломщик	Party pooper
Наплевать	Not give the fuck
Клятый / ебаное	Fucking  noun
Херня / ерунда	Bullshit
Какого черта	What the hell
Что за черт	Who the hell
Поганец / звдира	Badass
Отвали	piss off
Поправь макияж / сделай лицо проще	Fix your face
Организуй мне бухло 	Fix me a drink
Быть психом	Be nuts
