Наглый / дерзкий	Cheeky
Хулиган	Cheeky monkey
Нежный / ласковый с кем то	Gentle with sb
Устепчивый / гибкий в	Flexible about
Остроумный	Witty
Уважительный	Respectful
Разслабленный	Chilled
Спосоьный что то сделать	Capable of
Хараутеи	Character
Черты характера	Traits
Упертый	Stubborn
Решительный	Determined
Легкий на подьем	Easy going
Честный с кем то	Honest with sb
Честный по поводу яего то	Honest about smth
Притворный / нечестный	Artificial
Грубий	Rude
Грубый по отношению к кому то	Rude to sb
Привередливый	Moody
Кокетливый	Flirty
Уверeнный в себе	Self-confident
Коммуникабельный	Outgoing
