Короче , короче говоря	In short
Однако	However
На пример	For instance
Допустим	"Let's say"
Помимо / не учитывая чего то	Apart from
По сути / в основном	Basically
Бтлее менее	More or less
Другими словами / иначе говоря	In other words
На самом деле	Actually
Точно	Exactly
Кстати / между прочим	By the way
Честно говоря	To be honest
Предпологать / считать	Reckon
Типо / вроде того	Kind of / sort of
Очевидно	Obviously
Конечно / еще бы	You bet
Когда речь идет про что то	When it comes to Ving
Говорч про что то	Talking about
Хотя бы / как минимум / по меньшей мере	At least
